Symbol,Base Asset,Quote Asset,Status,Min Price,Max Price,Tick Size,Min Qty,Max Qty,Step Size,Min Notional,Score
LEVERUSDT,LEVER,USDT,TRADING,1e-06,100.0,1e-06,1.0,913205152.0,1.0,,913205152000000.0
AMPUSDT,AMP,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
FUNUSDT,FUN,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
TROYUSDT,TROY,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
IQUSDT,IQ,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
VTHOUSDT,VTHO,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
PENGUUSDT,PENGU,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
MBLUSDT,MBL,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
STMXUSDT,STMX,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
HOTUSDT,HOT,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
SCUSDT,SC,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
CKBUSDT,CKB,USDT,TRADING,1e-06,1000.0,1e-06,1.0,92141578.0,1.0,,92141578000000.0
IDEXUSDT,IDEX,USDT,TRADING,1e-05,100.0,1e-05,0.1,913205152.0,0.1,,91320515200000.0
VIDTUSDT,VIDT,USDT,TRADING,1e-05,100.0,1e-05,1.0,913205152.0,1.0,,91320515200000.0
MEMEUSDT,MEME,USDT,TRADING,1e-05,100.0,1e-05,1.0,913205152.0,1.0,,91320515200000.0
BEAMXUSDT,BEAMX,USDT,TRADING,1e-05,100.0,1e-05,1.0,913205152.0,1.0,,91320515200000.0
AMBUSDT,AMB,USDT,TRADING,1e-05,100.0,1e-05,1.0,913205152.0,1.0,,91320515200000.0
DUSDT,D,USDT,TRADING,1e-05,100.0,1e-05,1.0,913205152.0,1.0,,91320515200000.0
SLPUSDT,SLP,USDT,TRADING,1e-06,1000.0,1e-06,1.0,90000000.0,1.0,,90000000000000.0
DENTUSDT,DENT,USDT,TRADING,1e-06,1000.0,1e-06,1.0,90000000.0,1.0,,90000000000000.0
COSUSDT,COS,USDT,TRADING,1e-06,5000.0,1e-06,0.1,18443055.0,0.1,,18443055000000.0
XVGUSDT,XVG,USDT,TRADING,1e-06,10000.0,1e-06,1.0,9222449.0,1.0,,9222449000000.0
LINAUSDT,LINA,USDT,TRADING,1e-06,10000.0,1e-06,1.0,9222449.0,1.0,,9222449000000.0
SUNUSDT,SUN,USDT,TRADING,1e-05,1000.0,1e-05,1.0,92141578.0,1.0,,9214157800000.0
REZUSDT,REZ,USDT,TRADING,1e-05,1000.0,1e-05,0.1,92141578.0,0.1,,9214157800000.0
VIBUSDT,VIB,USDT,TRADING,1e-05,1000.0,1e-05,1.0,92141578.0,1.0,,9214157800000.0
JASMYUSDT,JASMY,USDT,TRADING,1e-05,1000.0,1e-05,0.1,92141578.0,0.1,,9214157800000.0
QIUSDT,QI,USDT,TRADING,1e-05,1000.0,1e-05,1.0,92141578.0,1.0,,9214157800000.0
PEOPLEUSDT,PEOPLE,USDT,TRADING,1e-05,1000.0,1e-05,0.1,92141578.0,0.1,,9214157800000.0
TUSDT,T,USDT,TRADING,1e-05,1000.0,1e-05,0.1,92141578.0,0.1,,9214157800000.0
SNTUSDT,SNT,USDT,TRADING,1e-05,1000.0,1e-05,1.0,92141578.0,1.0,,9214157800000.0
STRAXUSDT,STRAX,USDT,TRADING,1e-05,1000.0,1e-05,1.0,92141578.0,1.0,,9214157800000.0
